codigo_lote,item_tipo,materia_prima_codigo,quantidade_inicial,origem,fornecedor_codigo,data_producao,data_validade,numero_nf
LMP-25-001,materia_prima,MP-0002,6000,compra,FOR-0002,2025-01-06,2026-01-06,NF-F1
LMP-25-002,materia_prima,MP-0003,7000,compra,FOR-0003,2025-01-11,2026-01-11,NF-F2
LMP-25-003,materia_prima,MP-0004,8000,compra,FOR-0001,2025-01-16,2026-01-16,NF-F3
LMP-25-004,materia_prima,MP-0005,9000,compra,FOR-0002,2025-01-21,2026-01-21,NF-F4
LMP-25-005,materia_prima,MP-0001,5000,compra,FOR-0003,2025-01-26,2026-01-26,NF-F5
LMP-25-006,materia_prima,MP-0002,6000,compra,FOR-0001,2025-01-31,2026-01-31,NF-F6
LMP-25-007,materia_prima,MP-0003,7000,compra,FOR-0002,2025-02-05,2026-02-05,NF-F7
LMP-25-008,materia_prima,MP-0004,8000,compra,FOR-0003,2025-02-10,2026-02-10,NF-F8
LMP-25-009,materia_prima,MP-0005,9000,compra,FOR-0001,2025-02-15,2026-02-15,NF-F9
LMP-25-010,materia_prima,MP-0001,5000,compra,FOR-0002,2025-02-20,2026-02-20,NF-F10
LMP-25-011,materia_prima,MP-0002,6000,compra,FOR-0003,2025-02-25,2026-02-25,NF-F11
LMP-25-012,materia_prima,MP-0003,7000,compra,FOR-0001,2025-03-02,2026-03-02,NF-F12
LMP-25-013,materia_prima,MP-0004,8000,compra,FOR-0002,2025-03-07,2026-03-07,NF-F13
LMP-25-014,materia_prima,MP-0005,9000,compra,FOR-0003,2025-03-12,2026-03-12,NF-F14
LMP-25-015,materia_prima,MP-0001,5000,compra,FOR-0001,2025-03-17,2026-03-17,NF-F15
LMP-25-016,materia_prima,MP-0002,6000,compra,FOR-0002,2025-03-22,2026-03-22,NF-F16
LMP-25-017,materia_prima,MP-0003,7000,compra,FOR-0003,2025-03-27,2026-03-27,NF-F17
LMP-25-018,materia_prima,MP-0004,8000,compra,FOR-0001,2025-04-01,2026-04-01,NF-F18
LMP-25-019,materia_prima,MP-0005,9000,compra,FOR-0002,2025-04-06,2026-04-06,NF-F19
LMP-25-020,materia_prima,MP-0001,5000,compra,FOR-0003,2025-04-11,2026-04-11,NF-F20
LPA-0001,produto,,1470,producao,,2025-01-03,2026-01-03,
LPA-0002,produto,,1960,producao,,2025-01-04,2026-01-04,
LPA-0003,produto,,2450,producao,,2025-01-05,2026-01-05,
LPA-0004,produto,,2940,producao,,2025-01-06,2026-01-06,
