data,tipo,item_tipo,materia_prima_codigo,deposito_destino_codigo,quantidade,documento
2025-01-06T10:00:00Z,entrada,materia_prima,MP-0002,DEP-MP,6000,NF-F1
2025-01-11T14:00:00Z,consumo,materia_prima,MP-0002,,5400,REQ-0
2025-01-11T10:00:00Z,entrada,materia_prima,MP-0003,DEP-MP,7000,NF-F2
2025-01-16T14:00:00Z,consumo,materia_prima,MP-0003,,6300,REQ-1
2025-01-16T10:00:00Z,entrada,materia_prima,MP-0004,DEP-MP,8000,NF-F3
2025-01-21T14:00:00Z,consumo,materia_prima,MP-0004,,7200,REQ-2
2025-01-21T10:00:00Z,entrada,materia_prima,MP-0005,DEP-MP,9000,NF-F4
2025-01-26T14:00:00Z,consumo,materia_prima,MP-0005,,8100,REQ-3
2025-01-26T10:00:00Z,entrada,materia_prima,MP-0001,DEP-MP,5000,NF-F5
2025-01-31T14:00:00Z,consumo,materia_prima,MP-0001,,4500,REQ-4
2025-01-31T10:00:00Z,entrada,materia_prima,MP-0002,DEP-MP,6000,NF-F6
2025-02-05T14:00:00Z,consumo,materia_prima,MP-0002,,5400,REQ-5
2025-02-05T10:00:00Z,entrada,materia_prima,MP-0003,DEP-MP,7000,NF-F7
2025-02-10T14:00:00Z,consumo,materia_prima,MP-0003,,6300,REQ-6
2025-02-10T10:00:00Z,entrada,materia_prima,MP-0004,DEP-MP,8000,NF-F8
2025-02-15T14:00:00Z,consumo,materia_prima,MP-0004,,7200,REQ-7
2025-02-15T10:00:00Z,entrada,materia_prima,MP-0005,DEP-MP,9000,NF-F9
2025-02-20T14:00:00Z,consumo,materia_prima,MP-0005,,8100,REQ-8
2025-02-20T10:00:00Z,entrada,materia_prima,MP-0001,DEP-MP,5000,NF-F10
2025-02-25T14:00:00Z,consumo,materia_prima,MP-0001,,4500,REQ-9
2025-02-25T10:00:00Z,entrada,materia_prima,MP-0002,DEP-MP,6000,NF-F11
