tipo,modelo,serie,numero,chave_acesso,natureza_operacao,cfop,data_emissao,data_movimento,cliente_codigo,valor_produtos,valor_frete,valor_desconto,valor_impostos,valor_total,status_sefaz
saida,55,1,501,35250000000000000000000000000000000000000000,Venda de produção,5101,2025-01-07,2025-01-07,CLI-0002,10100,210,0,1515,10310,autorizada
saida,55,1,502,35250000000000000000000000000000000000000001,Venda de produção,5101,2025-01-09,2025-01-09,CLI-0003,10200,220,0,1530,10420,autorizada
saida,55,1,503,35250000000000000000000000000000000000000002,Venda de produção,5101,2025-01-11,2025-01-11,CLI-0001,10300,230,0,1545,10530,autorizada
saida,55,1,504,35250000000000000000000000000000000000000003,Venda de produção,5101,2025-01-13,2025-01-13,CLI-0002,10400,240,0,1560,10640,autorizada
saida,55,1,505,35250000000000000000000000000000000000000004,Venda de produção,5101,2025-01-15,2025-01-15,CLI-0003,10500,250,525,1575,10225,autorizada
saida,55,1,506,35250000000000000000000000000000000000000005,Venda de produção,5101,2025-01-17,2025-01-17,CLI-0001,10600,260,0,1590,10860,autorizada
saida,55,1,507,35250000000000000000000000000000000000000006,Venda de produção,5101,2025-01-19,2025-01-19,CLI-0002,10700,270,0,1605,10970,autorizada
saida,55,1,508,35250000000000000000000000000000000000000007,Venda de produção,5101,2025-01-21,2025-01-21,CLI-0003,10800,280,0,1620,11080,autorizada
saida,55,1,509,35250000000000000000000000000000000000000008,Venda de produção,5101,2025-01-23,2025-01-23,CLI-0001,10900,290,0,1635,11190,autorizada
saida,55,1,510,35250000000000000000000000000000000000000009,Venda de produção,5101,2025-01-25,2025-01-25,CLI-0002,11000,200,550,1650,10650,autorizada
saida,55,1,511,35250000000000000000000000000000000000000010,Venda de produção,5101,2025-01-27,2025-01-27,CLI-0003,11100,210,0,1665,11310,autorizada
saida,55,1,512,35250000000000000000000000000000000000000011,Venda de produção,5101,2025-01-29,2025-01-29,CLI-0001,11200,220,0,1680,11420,autorizada
saida,55,1,513,35250000000000000000000000000000000000000012,Venda de produção,5101,2025-01-31,2025-01-31,CLI-0002,11300,230,0,1695,11530,autorizada
saida,55,1,514,35250000000000000000000000000000000000000013,Venda de produção,5101,2025-02-02,2025-02-02,CLI-0003,11400,240,0,1710,11640,autorizada
saida,55,1,515,35250000000000000000000000000000000000000014,Venda de produção,5101,2025-02-04,2025-02-04,CLI-0001,11500,250,575,1725,11175,autorizada
