numero,tipo,recurso_nome,descricao,data_abertura,data_conclusao,status,responsavel_nome,custo_real
OM-2025-001,preventiva,EXT-02,Lubrificação mensal,2025-01-20,2025-01-21,concluida,Carlos Mendes,250
OM-2025-002,preventiva,IMP-01,Lubrificação mensal,2025-01-30,2025-01-31,concluida,Carlos Mendes,250
OM-2025-003,corretiva,COR-01,Falha no motor principal,2025-02-09,2025-02-10,concluida,Carlos Mendes,1500
OM-2025-004,preventiva,REC-01,Lubrificação mensal,2025-02-19,2025-02-20,concluida,Carlos Mendes,250
OM-2025-005,preventiva,EXT-01,Lubrificação mensal,2025-03-01,2025-03-02,concluida,Carlos Mendes,250
OM-2025-006,corretiva,EXT-02,Falha no motor principal,2025-03-11,2025-03-12,concluida,Carlos Mendes,1500
OM-2025-007,preventiva,IMP-01,Lubrificação mensal,2025-03-21,2025-03-22,concluida,Carlos Mendes,250
OM-2025-008,preventiva,COR-01,Lubrificação mensal,2025-03-31,2025-04-01,concluida,Carlos Mendes,250
OM-2025-009,corretiva,REC-01,Falha no motor principal,2025-04-10,2025-04-11,concluida,Carlos Mendes,1500
OM-2025-010,preventiva,EXT-01,Lubrificação mensal,2025-04-20,2025-04-21,concluida,Carlos Mendes,250
OM-2025-011,preventiva,EXT-02,Lubrificação mensal,2025-04-30,2025-05-01,concluida,Carlos Mendes,250
OM-2025-012,corretiva,IMP-01,Falha no motor principal,2025-05-10,2025-05-11,concluida,Carlos Mendes,1500
OM-2025-013,preventiva,COR-01,Lubrificação mensal,2025-05-20,2025-05-21,concluida,Carlos Mendes,250
OM-2025-014,preventiva,REC-01,Lubrificação mensal,2025-05-30,2025-05-31,concluida,Carlos Mendes,250
OM-2025-015,corretiva,EXT-01,Falha no motor principal,2025-06-09,2025-06-10,concluida,Carlos Mendes,1500
OM-2025-016,preventiva,EXT-02,Lubrificação mensal,2025-06-19,2025-06-20,concluida,Carlos Mendes,250
OM-2025-017,preventiva,IMP-01,Lubrificação mensal,2025-06-29,2025-06-30,concluida,Carlos Mendes,250
OM-2025-018,corretiva,COR-01,Falha no motor principal,2025-07-09,2025-07-10,concluida,Carlos Mendes,1500
OM-2025-019,preventiva,REC-01,Lubrificação mensal,2025-07-19,2025-07-20,concluida,Carlos Mendes,250
OM-2025-020,preventiva,EXT-01,Lubrificação mensal,2025-07-29,2025-07-30,concluida,Carlos Mendes,250
OM-2025-021,corretiva,EXT-02,Falha no motor principal,2025-08-08,2025-08-09,concluida,Carlos Mendes,1500
OM-2025-022,preventiva,IMP-01,Lubrificação mensal,2025-08-18,2025-08-19,concluida,Carlos Mendes,250
OM-2025-023,preventiva,COR-01,Lubrificação mensal,2025-08-28,2025-08-29,concluida,Carlos Mendes,250
OM-2025-024,corretiva,REC-01,Falha no motor principal,2025-09-07,2025-09-08,concluida,Carlos Mendes,1500
OM-2025-025,preventiva,EXT-01,Lubrificação mensal,2025-09-17,2025-09-18,concluida,Carlos Mendes,250
OM-2025-026,preventiva,EXT-02,Lubrificação mensal,2025-09-27,2025-09-28,concluida,Carlos Mendes,250
OM-2025-027,corretiva,IMP-01,Falha no motor principal,2025-10-07,2025-10-08,concluida,Carlos Mendes,1500
OM-2025-028,preventiva,COR-01,Lubrificação mensal,2025-10-17,2025-10-18,concluida,Carlos Mendes,250
OM-2025-029,preventiva,REC-01,Lubrificação mensal,2025-10-27,2025-10-28,concluida,Carlos Mendes,250
OM-2025-030,corretiva,EXT-01,Falha no motor principal,2025-11-06,2025-11-07,concluida,Carlos Mendes,1500
