numero,produto_codigo,maquina_codigo,cliente_codigo,quantidade_planejada,quantidade_produzida,quantidade_refugo,data_abertura,data_prazo,data_inicio_producao,data_conclusao,status,prioridade
OP-2025-0001,PA-0002,COR-01,,1500,1470,30,2025-01-02,2025-01-06,2025-01-03T07:00:00Z,2025-01-03T18:00:00Z,concluida,normal
OP-2025-0002,PA-0003,COR-01,,2000,1960,40,2025-01-03,2025-01-07,2025-01-04T07:00:00Z,2025-01-04T18:00:00Z,concluida,normal
OP-2025-0003,SA-0001,EXT-01,CLI-0001,2500,2450,50,2025-01-04,2025-01-08,2025-01-05T07:00:00Z,2025-01-05T18:00:00Z,concluida,normal
OP-2025-0004,SA-0002,EXT-01,,3000,2940,60,2025-01-05,2025-01-09,2025-01-06T07:00:00Z,2025-01-06T18:00:00Z,concluida,normal
OP-2025-0005,PA-0001,COR-01,,3500,3430,70,2025-01-06,2025-01-10,2025-01-07T07:00:00Z,2025-01-07T18:00:00Z,concluida,normal
OP-2025-0006,PA-0002,COR-01,CLI-0001,4000,3920,80,2025-01-07,2025-01-11,2025-01-08T07:00:00Z,2025-01-08T18:00:00Z,concluida,normal
OP-2025-0007,PA-0003,COR-01,,4500,4410,90,2025-01-08,2025-01-12,2025-01-09T07:00:00Z,2025-01-09T18:00:00Z,concluida,normal
OP-2025-0008,SA-0001,EXT-01,,5000,4900,100,2025-01-09,2025-01-13,2025-01-10T07:00:00Z,2025-01-10T18:00:00Z,concluida,normal
OP-2025-0009,SA-0002,EXT-01,CLI-0001,5500,5390,110,2025-01-10,2025-01-14,2025-01-11T07:00:00Z,2025-01-11T18:00:00Z,concluida,normal
OP-2025-0010,PA-0001,COR-01,,1000,980,20,2025-01-11,2025-01-15,2025-01-12T07:00:00Z,2025-01-12T18:00:00Z,concluida,alta
OP-2025-0011,PA-0002,COR-01,,1500,1470,30,2025-01-12,2025-01-16,2025-01-13T07:00:00Z,2025-01-13T18:00:00Z,concluida,normal
OP-2025-0012,PA-0003,COR-01,CLI-0001,2000,1960,40,2025-01-13,2025-01-17,2025-01-14T07:00:00Z,2025-01-14T18:00:00Z,concluida,normal
OP-2025-0013,SA-0001,EXT-01,,2500,2450,50,2025-01-14,2025-01-18,2025-01-15T07:00:00Z,2025-01-15T18:00:00Z,concluida,normal
OP-2025-0014,SA-0002,EXT-01,,3000,2940,60,2025-01-15,2025-01-19,2025-01-16T07:00:00Z,2025-01-16T18:00:00Z,concluida,normal
OP-2025-0015,PA-0001,COR-01,CLI-0001,3500,3430,70,2025-01-16,2025-01-20,2025-01-17T07:00:00Z,2025-01-17T18:00:00Z,concluida,normal
OP-2025-0016,PA-0002,COR-01,,4000,3920,80,2025-01-17,2025-01-21,2025-01-18T07:00:00Z,2025-01-18T18:00:00Z,concluida,normal
OP-2025-0017,PA-0003,COR-01,,4500,4410,90,2025-01-18,2025-01-22,2025-01-19T07:00:00Z,2025-01-19T18:00:00Z,concluida,normal
OP-2025-0018,SA-0001,EXT-01,CLI-0001,5000,4900,100,2025-01-19,2025-01-23,2025-01-20T07:00:00Z,2025-01-20T18:00:00Z,concluida,normal
OP-2025-0019,SA-0002,EXT-01,,5500,5390,110,2025-01-20,2025-01-24,2025-01-21T07:00:00Z,2025-01-21T18:00:00Z,concluida,normal
OP-2025-0020,PA-0001,COR-01,,1000,980,20,2025-01-21,2025-01-25,2025-01-22T07:00:00Z,2025-01-22T18:00:00Z,concluida,alta
