numero,fornecedor_codigo,data_pedido,data_entrega_prevista,status,condicao_pagamento,frete_valor,subtotal,total,comprador_nome
PC-2025-0001,FOR-0002,2025-01-09,2025-01-22,recebido,28/56 dias,0,27000,27000,Ana Lima
PC-2025-0002,FOR-0003,2025-01-16,2025-01-29,recebido,28/56 dias,0,29000,29000,Ana Lima
PC-2025-0003,FOR-0001,2025-01-23,2025-02-05,recebido,28/56 dias,0,31000,31000,Ana Lima
PC-2025-0004,FOR-0002,2025-01-30,2025-02-12,recebido,28/56 dias,0,33000,33000,Ana Lima
PC-2025-0005,FOR-0003,2025-02-06,2025-02-19,recebido,28/56 dias,0,35000,35000,Ana Lima
PC-2025-0006,FOR-0001,2025-02-13,2025-02-26,recebido,28/56 dias,0,37000,37000,Ana Lima
PC-2025-0007,FOR-0002,2025-02-20,2025-03-05,recebido,28/56 dias,0,39000,39000,Ana Lima
PC-2025-0008,FOR-0003,2025-02-27,2025-03-12,recebido,28/56 dias,0,41000,41000,Ana Lima
PC-2025-0009,FOR-0001,2025-03-06,2025-03-19,recebido,28/56 dias,0,43000,43000,Ana Lima
PC-2025-0010,FOR-0002,2025-03-13,2025-03-26,recebido,28/56 dias,0,25000,25000,Ana Lima
PC-2025-0011,FOR-0003,2025-03-20,2025-04-02,recebido,28/56 dias,0,27000,27000,Ana Lima
PC-2025-0012,FOR-0001,2025-03-27,2025-04-09,recebido,28/56 dias,0,29000,29000,Ana Lima
PC-2025-0013,FOR-0002,2025-04-03,2025-04-16,recebido,28/56 dias,0,31000,31000,Ana Lima
PC-2025-0014,FOR-0003,2025-04-10,2025-04-23,recebido,28/56 dias,0,33000,33000,Ana Lima
PC-2025-0015,FOR-0001,2025-04-17,2025-04-30,recebido,28/56 dias,0,35000,35000,Ana Lima
PC-2025-0016,FOR-0002,2025-04-24,2025-05-07,recebido,28/56 dias,0,37000,37000,Ana Lima
PC-2025-0017,FOR-0003,2025-05-01,2025-05-14,recebido,28/56 dias,0,39000,39000,Ana Lima
PC-2025-0018,FOR-0001,2025-05-08,2025-05-21,aberto,28/56 dias,0,41000,41000,Ana Lima
PC-2025-0019,FOR-0002,2025-05-15,2025-05-28,aberto,28/56 dias,0,43000,43000,Ana Lima
PC-2025-0020,FOR-0003,2025-05-22,2025-06-04,aberto,28/56 dias,0,25000,25000,Ana Lima
