numero,cliente_codigo,data_pedido,data_entrega_prevista,status,condicao_pagamento,frete_valor,subtotal,desconto_pct,total,vendedor_nome,nota_fiscal
PV-2025-0001,CLI-0002,2025-01-07,2025-01-17,entregue,30 dias,210,10100,0,10310,Ana Costa,NF-00501
PV-2025-0002,CLI-0003,2025-01-09,2025-01-19,entregue,30 dias,220,10200,0,10420,Marcos Lima,NF-00502
PV-2025-0003,CLI-0001,2025-01-11,2025-01-21,entregue,30 dias,230,10300,0,10530,Ana Costa,NF-00503
PV-2025-0004,CLI-0002,2025-01-13,2025-01-23,entregue,30 dias,240,10400,0,10640,Marcos Lima,NF-00504
PV-2025-0005,CLI-0003,2025-01-15,2025-01-25,entregue,30 dias,250,10500,5,10225,Ana Costa,NF-00505
PV-2025-0006,CLI-0001,2025-01-17,2025-01-27,entregue,30 dias,260,10600,0,10860,Marcos Lima,NF-00506
PV-2025-0007,CLI-0002,2025-01-19,2025-01-29,entregue,30 dias,270,10700,0,10970,Ana Costa,NF-00507
PV-2025-0008,CLI-0003,2025-01-21,2025-01-31,entregue,30 dias,280,10800,0,11080,Marcos Lima,NF-00508
PV-2025-0009,CLI-0001,2025-01-23,2025-02-02,entregue,30 dias,290,10900,0,11190,Ana Costa,NF-00509
PV-2025-0010,CLI-0002,2025-01-25,2025-02-04,entregue,30 dias,200,11000,5,10650,Marcos Lima,NF-00510
PV-2025-0011,CLI-0003,2025-01-27,2025-02-06,entregue,30 dias,210,11100,0,11310,Ana Costa,NF-00511
PV-2025-0012,CLI-0001,2025-01-29,2025-02-08,entregue,30 dias,220,11200,0,11420,Marcos Lima,NF-00512
PV-2025-0013,CLI-0002,2025-01-31,2025-02-10,entregue,30 dias,230,11300,0,11530,Ana Costa,NF-00513
PV-2025-0014,CLI-0003,2025-02-02,2025-02-12,entregue,30 dias,240,11400,0,11640,Marcos Lima,NF-00514
PV-2025-0015,CLI-0001,2025-02-04,2025-02-14,entregue,30 dias,250,11500,5,11175,Ana Costa,NF-00515
PV-2025-0016,CLI-0002,2025-02-06,2025-02-16,entregue,30 dias,260,11600,0,11860,Marcos Lima,NF-00516
PV-2025-0017,CLI-0003,2025-02-08,2025-02-18,entregue,30 dias,270,11700,0,11970,Ana Costa,NF-00517
PV-2025-0018,CLI-0001,2025-02-10,2025-02-20,entregue,30 dias,280,11800,0,12080,Marcos Lima,NF-00518
PV-2025-0019,CLI-0002,2025-02-12,2025-02-22,entregue,30 dias,290,11900,0,12190,Ana Costa,NF-00519
PV-2025-0020,CLI-0003,2025-02-14,2025-02-24,entregue,30 dias,200,12000,5,11600,Marcos Lima,NF-00520
PV-2025-0021,CLI-0001,2025-02-16,2025-02-26,entregue,30 dias,210,12100,0,12310,Ana Costa,NF-00521
PV-2025-0022,CLI-0002,2025-02-18,2025-02-28,entregue,30 dias,220,12200,0,12420,Marcos Lima,NF-00522
PV-2025-0023,CLI-0003,2025-02-20,2025-03-02,entregue,30 dias,230,12300,0,12530,Ana Costa,NF-00523
PV-2025-0024,CLI-0001,2025-02-22,2025-03-04,entregue,30 dias,240,12400,0,12640,Marcos Lima,NF-00524
PV-2025-0025,CLI-0002,2025-02-24,2025-03-06,entregue,30 dias,250,12500,5,12125,Ana Costa,NF-00525
PV-2025-0026,CLI-0003,2025-02-26,2025-03-08,entregue,30 dias,260,12600,0,12860,Marcos Lima,NF-00526
PV-2025-0027,CLI-0001,2025-02-28,2025-03-10,entregue,30 dias,270,12700,0,12970,Ana Costa,NF-00527
PV-2025-0028,CLI-0002,2025-03-02,2025-03-12,entregue,30 dias,280,12800,0,13080,Marcos Lima,NF-00528
PV-2025-0029,CLI-0003,2025-03-04,2025-03-14,entregue,30 dias,290,12900,0,13190,Ana Costa,NF-00529
PV-2025-0030,CLI-0001,2025-03-06,2025-03-16,entregue,30 dias,200,13000,5,12550,Marcos Lima,NF-00530
PV-2025-0031,CLI-0002,2025-03-08,2025-03-18,entregue,30 dias,210,13100,0,13310,Ana Costa,NF-00531
PV-2025-0032,CLI-0003,2025-03-10,2025-03-20,entregue,30 dias,220,13200,0,13420,Marcos Lima,NF-00532
PV-2025-0033,CLI-0001,2025-03-12,2025-03-22,entregue,30 dias,230,13300,0,13530,Ana Costa,NF-00533
PV-2025-0034,CLI-0002,2025-03-14,2025-03-24,entregue,30 dias,240,13400,0,13640,Marcos Lima,NF-00534
PV-2025-0035,CLI-0003,2025-03-16,2025-03-26,entregue,30 dias,250,13500,5,13075,Ana Costa,NF-00535
PV-2025-0036,CLI-0001,2025-03-18,2025-03-28,entregue,30 dias,260,13600,0,13860,Marcos Lima,NF-00536
PV-2025-0037,CLI-0002,2025-03-20,2025-03-30,entregue,30 dias,270,13700,0,13970,Ana Costa,NF-00537
PV-2025-0038,CLI-0003,2025-03-22,2025-04-01,entregue,30 dias,280,13800,0,14080,Marcos Lima,NF-00538
PV-2025-0039,CLI-0001,2025-03-24,2025-04-03,entregue,30 dias,290,13900,0,14190,Ana Costa,NF-00539
PV-2025-0040,CLI-0002,2025-03-26,2025-04-05,faturado,30 dias,200,14000,5,13500,Marcos Lima,NF-00540
PV-2025-0041,CLI-0003,2025-03-28,2025-04-07,faturado,30 dias,210,14100,0,14310,Ana Costa,NF-00541
PV-2025-0042,CLI-0001,2025-03-30,2025-04-09,faturado,30 dias,220,14200,0,14420,Marcos Lima,NF-00542
PV-2025-0043,CLI-0002,2025-04-01,2025-04-11,faturado,30 dias,230,14300,0,14530,Ana Costa,NF-00543
PV-2025-0044,CLI-0003,2025-04-03,2025-04-13,faturado,30 dias,240,14400,0,14640,Marcos Lima,NF-00544
PV-2025-0045,CLI-0001,2025-04-05,2025-04-15,faturado,30 dias,250,14500,5,14025,Ana Costa,NF-00545
PV-2025-0046,CLI-0002,2025-04-07,2025-04-17,faturado,30 dias,260,14600,0,14860,Marcos Lima,NF-00546
PV-2025-0047,CLI-0003,2025-04-09,2025-04-19,faturado,30 dias,270,14700,0,14970,Ana Costa,NF-00547
PV-2025-0048,CLI-0001,2025-04-11,2025-04-21,faturado,30 dias,280,14800,0,15080,Marcos Lima,NF-00548
PV-2025-0049,CLI-0002,2025-04-13,2025-04-23,faturado,30 dias,290,14900,0,15190,Ana Costa,NF-00549
PV-2025-0050,CLI-0003,2025-04-15,2025-04-25,faturado,30 dias,200,10000,5,9700,Marcos Lima,NF-00550
