numero,fornecedor_codigo,pedido_compra_numero,data_recebimento,nota_fiscal,chave_nfe,status
REC-2025-0000,FOR-0002,PC-2025-0001,2025-01-22,NF-F100,3525F000000000000000000000000000000000000000,aprovado
REC-2025-0001,FOR-0003,PC-2025-0002,2025-01-29,NF-F101,3525F000000000000000000000000000000000000001,aprovado
REC-2025-0002,FOR-0001,PC-2025-0003,2025-02-05,NF-F102,3525F000000000000000000000000000000000000002,aprovado
REC-2025-0003,FOR-0002,PC-2025-0004,2025-02-12,NF-F103,3525F000000000000000000000000000000000000003,aprovado
REC-2025-0004,FOR-0003,PC-2025-0005,2025-02-19,NF-F104,3525F000000000000000000000000000000000000004,aprovado
REC-2025-0005,FOR-0001,PC-2025-0006,2025-02-26,NF-F105,3525F000000000000000000000000000000000000005,aprovado
REC-2025-0006,FOR-0002,PC-2025-0007,2025-03-05,NF-F106,3525F000000000000000000000000000000000000006,aprovado
REC-2025-0007,FOR-0003,PC-2025-0008,2025-03-12,NF-F107,3525F000000000000000000000000000000000000007,aprovado
REC-2025-0008,FOR-0001,PC-2025-0009,2025-03-19,NF-F108,3525F000000000000000000000000000000000000008,aprovado
REC-2025-0009,FOR-0002,PC-2025-0010,2025-03-26,NF-F109,3525F000000000000000000000000000000000000009,aprovado
REC-2025-0010,FOR-0003,PC-2025-0011,2025-04-02,NF-F110,3525F000000000000000000000000000000000000010,aprovado
REC-2025-0011,FOR-0001,PC-2025-0012,2025-04-09,NF-F111,3525F000000000000000000000000000000000000011,aprovado
REC-2025-0012,FOR-0002,PC-2025-0013,2025-04-16,NF-F112,3525F000000000000000000000000000000000000012,aprovado
REC-2025-0013,FOR-0003,PC-2025-0014,2025-04-23,NF-F113,3525F000000000000000000000000000000000000013,aprovado
REC-2025-0014,FOR-0001,PC-2025-0015,2025-04-30,NF-F114,3525F000000000000000000000000000000000000014,aprovado
REC-2025-0015,FOR-0002,PC-2025-0016,2025-05-07,NF-F115,3525F000000000000000000000000000000000000015,aprovado
REC-2025-0016,FOR-0003,PC-2025-0017,2025-05-14,NF-F116,3525F000000000000000000000000000000000000016,aprovado
